_id,reactant,product,reaction,condition,template_r0,template_r1
11,CC(C)=C.BrBr,CC(C)(Br)CBr,[CH3:1][C:2]([CH3:3])=[CH2:5].[Br:6][Br:4]>>[CH3:1][C:2]([CH3:3])([Br:4])[CH2:5][Br:6],,[Br;H0;D1;+0:1]-[C;H0;D4;+0:3]-[CH2;D2;+0:4]-[Br;H0;D1;+0:2]>>[Br;H0;D1;+0:1]-[Br;H0;D1;+0:2].[C;H0;D3;+0:3]=[CH2;D1;+0:4],[Br;H0;D1;+0:1]-[C;H0;D4;+0:4](-[C;D1;H3:3])(-[C;D1;H3:5])-[CH2;D2;+0:6]-[Br;H0;D1;+0:2]>>[Br;H0;D1;+0:1]-[Br;H0;D1;+0:2].[C;D1;H3:3]-[C;H0;D3;+0:4](-[C;D1;H3:5])=[CH2;D1;+0:6]
12,CC(C)C=C.Br,CC(C)(Br)CC,[CH3:1][CH:2]([CH3:3])[CH:5]=[CH2:6].[BrH:4]>>[CH3:1][C:2]([CH3:3])([Br:4])[CH2:5][CH3:6],HBr,[Br;H0;D1;+0:1]-[C;H0;D4;+0:4]-[CH2;D2;+0:3]-[CH3;D1;+0:2]>>[BrH;D0;+0:1].[CH2;D1;+0:2]=[CH;D2;+0:3]-[CH;D3;+0:4],[Br;H0;D1;+0:1]-[C;H0;D4;+0:3](-[C;D1;H3:2])(-[C;D1;H3:4])-[CH2;D2;+0:5]-[CH3;D1;+0:6]>>[BrH;D0;+0:1].[C;D1;H3:2]-[CH;D3;+0:3](-[C;D1;H3:4])-[CH;D2;+0:5]=[CH2;D1;+0:6]
13,C(C)C=C(C)C.BrBr,CC(C)(Br)C(Br)(C)C,[CH2:8]([CH3:1])[CH:5]=[C:2]([CH3:7])[CH3:3].[Br:6][Br:4]>>[CH3:1][C:2]([CH3:3])([Br:4])[C:5]([Br:6])([CH3:7])[CH3:8],,[Br;H0;D1;+0:1]-[C;H0;D4;+0:6](-[CH3;D1;+0:3])-[C;H0;D4;+0:5](-[Br;H0;D1;+0:2])(-[CH3;D1;+0:7])-[CH3;D1;+0:4]>>[Br;H0;D1;+0:1]-[Br;H0;D1;+0:2].[CH3;D1;+0:3]-[CH2;D2;+0:4]-[CH;D2;+0:5]=[C;H0;D3;+0:6]-[CH3;D1;+0:7],[Br;H0;D1;+0:1]-[C;H0;D4;+0:4](-[C;D1;H3:3])(-[CH3;D1;+0:8])-[C;H0;D4;+0:6](-[Br;H0;D1;+0:2])(-[CH3;D1;+0:5])-[CH3;D1;+0:7]>>[Br;H0;D1;+0:1]-[Br;H0;D1;+0:2].[C;D1;H3:3]-[C;H0;D3;+0:4](-[CH3;D1;+0:5])=[CH;D2;+0:6]-[CH2;D2;+0:7]-[CH3;D1;+0:8]
14,C1CCCCC1.BrBr,BrC1CCCCC1,[CH2:2]1[CH2:3][CH2:4][CH2:5][CH2:6][CH2:7]1.[Br:1]Br>>[Br:1][CH:2]1[CH2:3][CH2:4][CH2:5][CH2:6][CH2:7]1,Br2,[Br;H0;D1;+0:1]-[CH;D3;+0:2]>>Br-[Br;H0;D1;+0:1].[CH2;D2;+0:2],[Br;H0;D1;+0:1]-[CH;D3;+0:3](-[C:2])-[C:4]>>Br-[Br;H0;D1;+0:1].[C:2]-[CH2;D2;+0:3]-[C:4]
15,c1ccccc1CC.BrBr,c1ccccc1C(Br)C,[cH:1]1[cH:2][cH:3][cH:4][cH:5][c:6]1[CH2:7][CH3:9].[Br:8]Br>>[cH:1]1[cH:2][cH:3][cH:4][cH:5][c:6]1[CH:7]([Br:8])[CH3:9],"Br2,hv or high temperature",[Br;H0;D1;+0:1]-[CH;D3;+0:2]>>Br-[Br;H0;D1;+0:1].[CH2;D2;+0:2],[Br;H0;D1;+0:1]-[CH;D3;+0:3](-[C;D1;H3:2])-[c:4]>>Br-[Br;H0;D1;+0:1].[C;D1;H3:2]-[CH2;D2;+0:3]-[c:4]
16,CC=C.BrBr,CC(Br)CBr,[CH3:1][CH:2]=[CH2:4].[Br:5][Br:3]>>[CH3:1][CH:2]([Br:3])[CH2:4][Br:5],,[Br;H0;D1;+0:1]-[CH;D3;+0:4]-[CH2;D2;+0:3]-[Br;H0;D1;+0:2]>>[Br;H0;D1;+0:1]-[Br;H0;D1;+0:2].[CH2;D1;+0:3]=[CH;D2;+0:4],[Br;H0;D1;+0:1]-[CH;D3;+0:4](-[C;D1;H3:3])-[CH2;D2;+0:5]-[Br;H0;D1;+0:2]>>[Br;H0;D1;+0:1]-[Br;H0;D1;+0:2].[C;D1;H3:3]-[CH;D2;+0:4]=[CH2;D1;+0:5]
17,CC=C.BrBr.Cl,CC(Cl)CBr,[CH3:1][CH:2]=[CH2:4].[Br:5]Br.[ClH:3]>>[CH3:1][CH:2]([Cl:3])[CH2:4][Br:5],,[Br;H0;D1;+0:1]-[CH2;D2;+0:2]-[CH;D3;+0:3]-[Cl;H0;D1;+0:4]>>Br-[Br;H0;D1;+0:1].[CH2;D1;+0:2]=[CH;D2;+0:3].[ClH;D0;+0:4],[Br;H0;D1;+0:1]-[CH2;D2;+0:4]-[CH;D3;+0:3](-[C;D1;H3:2])-[Cl;H0;D1;+0:5]>>Br-[Br;H0;D1;+0:1].[C;D1;H3:2]-[CH;D2;+0:3]=[CH2;D1;+0:4].[ClH;D0;+0:5]
18,CC=C.BrBr.OC,CC(OC)CBr,[CH3:1][CH:2]=[CH2:5].[Br:6]Br.[OH:3][CH3:4]>>[CH3:1][CH:2]([O:3][CH3:4])[CH2:5][Br:6],,[Br;H0;D1;+0:1]-[CH2;D2;+0:2]-[CH;D3;+0:3]-[O;H0;D2;+0:4]>>Br-[Br;H0;D1;+0:1].[CH2;D1;+0:2]=[CH;D2;+0:3].[OH;D1;+0:4],[Br;H0;D1;+0:1]-[CH2;D2;+0:4]-[CH;D3;+0:3](-[C;D1;H3:2])-[O;H0;D2;+0:6]-[C;D1;H3:5]>>Br-[Br;H0;D1;+0:1].[C;D1;H3:2]-[CH;D2;+0:3]=[CH2;D1;+0:4].[C;D1;H3:5]-[OH;D1;+0:6]
19,CC=C.BrBr.OCC,CC(OCC)CBr,[CH3:1][CH:2]=[CH2:6].[Br:7]Br.[OH:3][CH2:4][CH3:5]>>[CH3:1][CH:2]([O:3][CH2:4][CH3:5])[CH2:6][Br:7],,[Br;H0;D1;+0:1]-[CH2;D2;+0:2]-[CH;D3;+0:3]-[O;H0;D2;+0:4]>>Br-[Br;H0;D1;+0:1].[CH2;D1;+0:2]=[CH;D2;+0:3].[OH;D1;+0:4],[Br;H0;D1;+0:1]-[CH2;D2;+0:4]-[CH;D3;+0:3](-[C;D1;H3:2])-[O;H0;D2;+0:6]-[C:5]>>Br-[Br;H0;D1;+0:1].[C;D1;H3:2]-[CH;D2;+0:3]=[CH2;D1;+0:4].[C:5]-[OH;D1;+0:6]
20,CC=C.BrBr.OC(C)C,CC(OC(C)C)CBr,[CH3:1][CH:2]=[CH2:7].[Br:8]Br.[OH:3][CH:4]([CH3:5])[CH3:6]>>[CH3:1][CH:2]([O:3][CH:4]([CH3:5])[CH3:6])[CH2:7][Br:8],,[Br;H0;D1;+0:1]-[CH2;D2;+0:2]-[CH;D3;+0:3]-[O;H0;D2;+0:4]>>Br-[Br;H0;D1;+0:1].[CH2;D1;+0:2]=[CH;D2;+0:3].[OH;D1;+0:4],[Br;H0;D1;+0:1]-[CH2;D2;+0:4]-[CH;D3;+0:3](-[C;D1;H3:2])-[O;H0;D2;+0:6]-[C:5]>>Br-[Br;H0;D1;+0:1].[C;D1;H3:2]-[CH;D2;+0:3]=[CH2;D1;+0:4].[C:5]-[OH;D1;+0:6]
21,CC=C.BrBr.O,CC(O)CBr,[CH3:1][CH:2]=[CH2:4].[Br:5]Br.[OH2:3]>>[CH3:1][CH:2]([OH:3])[CH2:4][Br:5],,[Br;H0;D1;+0:1]-[CH2;D2;+0:2]-[CH;D3;+0:3]-[OH;D1;+0:4]>>Br-[Br;H0;D1;+0:1].[CH2;D1;+0:2]=[CH;D2;+0:3].[OH2;D0;+0:4],[Br;H0;D1;+0:1]-[CH2;D2;+0:4]-[CH;D3;+0:3](-[C;D1;H3:2])-[OH;D1;+0:5]>>Br-[Br;H0;D1;+0:1].[C;D1;H3:2]-[CH;D2;+0:3]=[CH2;D1;+0:4].[OH2;D0;+0:5]
22,CC=C.Br,CCCBr,[CH3:1][CH:2]=[CH2:3].[BrH:4]>>[CH3:1][CH2:2][CH2:3][Br:4],"HBr,ROOR",[Br;H0;D1;+0:1]-[CH2;D2;+0:2]-[CH2;D2;+0:3]>>[BrH;D0;+0:1].[CH2;D1;+0:2]=[CH;D2;+0:3],[Br;H0;D1;+0:1]-[CH2;D2;+0:4]-[CH2;D2;+0:3]-[C;D1;H3:2]>>[BrH;D0;+0:1].[C;D1;H3:2]-[CH;D2;+0:3]=[CH2;D1;+0:4]
23,CC=C.BrBr,BrCC=C,[CH3:2][CH:3]=[CH2:4].[Br:1]Br>>[Br:1][CH2:2][CH:3]=[CH2:4],"Br2, 500-600 C, gas phase",[Br;H0;D1;+0:1]-[CH2;D2;+0:2]>>Br-[Br;H0;D1;+0:1].[CH3;D1;+0:2],[Br;H0;D1;+0:1]-[CH2;D2;+0:4]-[C:3]=[C;D1;H2:2]>>Br-[Br;H0;D1;+0:1].[C;D1;H2:2]=[C:3]-[CH3;D1;+0:4]
24,CCO.BrP(Br)Br,CCBr,[CH3:1][CH2:2]O.BrP(Br)[Br:3]>>[CH3:1][CH2:2][Br:3],PBr3,[Br;H0;D1;+0:1]-[CH2;D2;+0:2]>>Br-P(-Br)-[Br;H0;D1;+0:1].O-[CH2;D2;+0:2],[Br;H0;D1;+0:1]-[CH2;D2;+0:2]-[C;D1;H3:3]>>Br-P(-Br)-[Br;H0;D1;+0:1].O-[CH2;D2;+0:2]-[C;D1;H3:3]
25,CC(C)=C.BrBr.Cl,CC(C)(Cl)CBr,[CH3:1][C:2]([CH3:3])=[CH2:5].[Br:6]Br.[ClH:4]>>[CH3:1][C:2]([CH3:3])([Cl:4])[CH2:5][Br:6],,[Br;H0;D1;+0:1]-[CH2;D2;+0:3]-[C;H0;D4;+0:2]-[Cl;H0;D1;+0:4]>>Br-[Br;H0;D1;+0:1].[C;H0;D3;+0:2]=[CH2;D1;+0:3].[ClH;D0;+0:4],[Br;H0;D1;+0:1]-[CH2;D2;+0:5]-[C;H0;D4;+0:3](-[C;D1;H3:2])(-[C;D1;H3:4])-[Cl;H0;D1;+0:6]>>Br-[Br;H0;D1;+0:1].[C;D1;H3:2]-[C;H0;D3;+0:3](-[C;D1;H3:4])=[CH2;D1;+0:5].[ClH;D0;+0:6]
26,CC(C)=C.BrBr.OC,CC(C)(OC)CBr,[CH3:1][C:2]([CH3:3])=[CH2:6].[Br:7]Br.[OH:4][CH3:5]>>[CH3:1][C:2]([CH3:3])([O:4][CH3:5])[CH2:6][Br:7],,[Br;H0;D1;+0:1]-[CH2;D2;+0:3]-[C;H0;D4;+0:2]-[O;H0;D2;+0:4]>>Br-[Br;H0;D1;+0:1].[C;H0;D3;+0:2]=[CH2;D1;+0:3].[OH;D1;+0:4],[Br;H0;D1;+0:1]-[CH2;D2;+0:5]-[C;H0;D4;+0:3](-[C;D1;H3:2])(-[C;D1;H3:4])-[O;H0;D2;+0:7]-[C;D1;H3:6]>>Br-[Br;H0;D1;+0:1].[C;D1;H3:2]-[C;H0;D3;+0:3](-[C;D1;H3:4])=[CH2;D1;+0:5].[C;D1;H3:6]-[OH;D1;+0:7]
27,CC(C)=C.BrBr.O,CC(C)(O)CBr,[CH3:1][C:2]([CH3:3])=[CH2:5].[Br:6]Br.[OH2:4]>>[CH3:1][C:2]([CH3:3])([OH:4])[CH2:5][Br:6],,[Br;H0;D1;+0:1]-[CH2;D2;+0:3]-[C;H0;D4;+0:2]-[OH;D1;+0:4]>>Br-[Br;H0;D1;+0:1].[C;H0;D3;+0:2]=[CH2;D1;+0:3].[OH2;D0;+0:4],[Br;H0;D1;+0:1]-[CH2;D2;+0:5]-[C;H0;D4;+0:3](-[C;D1;H3:2])(-[C;D1;H3:4])-[OH;D1;+0:6]>>Br-[Br;H0;D1;+0:1].[C;D1;H3:2]-[C;H0;D3;+0:3](-[C;D1;H3:4])=[CH2;D1;+0:5].[OH2;D0;+0:6]
28,C=C.BrBr.[Na+].[Cl-],ClCCBr,[CH2:2]=[CH2:3].[Br:4]Br.[Na+].[Cl-:1]>>[Cl:1][CH2:2][CH2:3][Br:4],"Br2,NaCl",[Br;H0;D1;+0:1]-[CH2;D2;+0:3]-[CH2;D2;+0:2]-[Cl;H0;D1;+0:4]>>Br-[Br;H0;D1;+0:1].[CH2;D1;+0:2]=[CH2;D1;+0:3].[Cl-;H0;D0:4],[Br;H0;D1;+0:1]-[CH2;D2;+0:3]-[CH2;D2;+0:2]-[Cl;H0;D1;+0:4]>>Br-[Br;H0;D1;+0:1].[CH2;D1;+0:2]=[CH2;D1;+0:3].[Cl-;H0;D0:4]
29,C=C.BrBr.CO,COCCBr,[CH2:3]=[CH2:4].[Br:5]Br.[CH3:1][OH:2]>>[CH3:1][O:2][CH2:3][CH2:4][Br:5],"Br2,CH3OH",[Br;H0;D1;+0:1]-[CH2;D2;+0:3]-[CH2;D2;+0:2]-[O;H0;D2;+0:4]>>Br-[Br;H0;D1;+0:1].[CH2;D1;+0:2]=[CH2;D1;+0:3].[OH;D1;+0:4],[Br;H0;D1;+0:1]-[CH2;D2;+0:5]-[CH2;D2;+0:4]-[O;H0;D2;+0:3]-[C;D1;H3:2]>>Br-[Br;H0;D1;+0:1].[C;D1;H3:2]-[OH;D1;+0:3].[CH2;D1;+0:4]=[CH2;D1;+0:5]
30,C=C.O.Br,OCCBr,[CH2:2]=[CH2:3].[OH2:1].[BrH:4]>>[OH:1][CH2:2][CH2:3][Br:4],"Br2,H2O",[Br;H0;D1;+0:1]-[CH2;D2;+0:3]-[CH2;D2;+0:2]-[OH;D1;+0:4]>>[BrH;D0;+0:1].[CH2;D1;+0:2]=[CH2;D1;+0:3].[OH2;D0;+0:4],[Br;H0;D1;+0:1]-[CH2;D2;+0:3]-[CH2;D2;+0:2]-[OH;D1;+0:4]>>[BrH;D0;+0:1].[CH2;D1;+0:2]=[CH2;D1;+0:3].[OH2;D0;+0:4]
31,C=C.BrBr,BrCCBr,[CH2:2]=[CH2:3].[Br:1][Br:4]>>[Br:1][CH2:2][CH2:3][Br:4],Br2,[Br;H0;D1;+0:1]-[CH2;D2;+0:3]-[CH2;D2;+0:4]-[Br;H0;D1;+0:2]>>[Br;H0;D1;+0:1]-[Br;H0;D1;+0:2].[CH2;D1;+0:3]=[CH2;D1;+0:4],[Br;H0;D1;+0:1]-[CH2;D2;+0:3]-[CH2;D2;+0:4]-[Br;H0;D1;+0:2]>>[Br;H0;D1;+0:1]-[Br;H0;D1;+0:2].[CH2;D1;+0:3]=[CH2;D1;+0:4]
32,CC(C)=C.BrBr.OCC,CC(C)(OCC)CBr,[CH3:7][C:2]([CH3:3])=[CH2:1].[Br:8]Br.[OH:4][CH2:5][CH3:6]>>[CH3:1][C:2]([CH3:3])([O:4][CH2:5][CH3:6])[CH2:7][Br:8],,[Br;H0;D1;+0:1]-[CH2;D2;+0:4]-[C;H0;D4;+0:3](-[CH3;D1;+0:2])-[O;H0;D2;+0:5]>>Br-[Br;H0;D1;+0:1].[CH2;D1;+0:2]=[C;H0;D3;+0:3]-[CH3;D1;+0:4].[OH;D1;+0:5],[Br;H0;D1;+0:1]-[CH2;D2;+0:5]-[C;H0;D4;+0:3](-[C;D1;H3:2])(-[CH3;D1;+0:4])-[O;H0;D2;+0:7]-[C:6]>>Br-[Br;H0;D1;+0:1].[C;D1;H3:2]-[C;H0;D3;+0:3](=[CH2;D1;+0:4])-[CH3;D1;+0:5].[C:6]-[OH;D1;+0:7]
33,CC(C)=C.BrBr.OC(C)C,CC(C)(OC(C)C)CBr,[CH3:8][C:2]([CH3:3])=[CH2:1].[Br:9]Br.[OH:4][CH:5]([CH3:6])[CH3:7]>>[CH3:1][C:2]([CH3:3])([O:4][CH:5]([CH3:6])[CH3:7])[CH2:8][Br:9],,[Br;H0;D1;+0:1]-[CH2;D2;+0:4]-[C;H0;D4;+0:3](-[CH3;D1;+0:2])-[O;H0;D2;+0:5]>>Br-[Br;H0;D1;+0:1].[CH2;D1;+0:2]=[C;H0;D3;+0:3]-[CH3;D1;+0:4].[OH;D1;+0:5],[Br;H0;D1;+0:1]-[CH2;D2;+0:5]-[C;H0;D4;+0:3](-[C;D1;H3:2])(-[CH3;D1;+0:4])-[O;H0;D2;+0:7]-[C:6]>>Br-[Br;H0;D1;+0:1].[C;D1;H3:2]-[C;H0;D3;+0:3](=[CH2;D1;+0:4])-[CH3;D1;+0:5].[C:6]-[OH;D1;+0:7]
34,C=CC=C.Br,CC=CCBr,[CH2:4]=[CH:3][CH:2]=[CH2:1].[BrH:5]>>[CH3:1][CH:2]=[CH:3][CH2:4][Br:5],"HBr,40 C",[Br;H0;D1;+0:1]-[CH2;D2;+0:5]-[CH;D2;+0:4]=[CH;D2;+0:3]-[CH3;D1;+0:2]>>[BrH;D0;+0:1].[CH2;D1;+0:2]=[CH;D2;+0:3]-[CH;D2;+0:4]=[CH2;D1;+0:5],[Br;H0;D1;+0:1]-[CH2;D2;+0:5]-[CH;D2;+0:4]=[CH;D2;+0:3]-[CH3;D1;+0:2]>>[BrH;D0;+0:1].[CH2;D1;+0:2]=[CH;D2;+0:3]-[CH;D2;+0:4]=[CH2;D1;+0:5]
35,CC(=O)O.C[Li],CC(=O)C,[CH3:1][C:2](=[O:3])O.[CH3:4][Li]>>[CH3:1][C:2](=[O:3])[CH3:4],C[Li],[C;H0;D3;+0:1]-[CH3;D1;+0:2]>>O-[C;H0;D3;+0:1].[CH3;D1;+0:2]-[Li],[C;D1;H3:2]-[C;H0;D3;+0:1](-[CH3;D1;+0:4])=[O;D1;H0:3]>>O-[C;H0;D3;+0:1](-[C;D1;H3:2])=[O;D1;H0:3].[CH3;D1;+0:4]-[Li]
