reaction_id,reaction_name,Reactant,Product,reaction,R1,R2,R3,condition,source,chapter
4-011,Addition of organolithium reagents to carboxylates for ketone synthesis,O=C(O)[R1a].[R2b][Li],O=C([R1a])[R2b],O=C(O)[R1a].[R2b][Li]>>O=C([R1a])[R2b],methyl,methyl;secondary,,C[Li],library_1270_chapter_templates.json,4
4-012,"1,2-Addition of isopropyllithium to alpha,beta-unsaturated ketones",CC=CC(C)=O.[Li]C(C)C,CC=CC(C)(O)C(C)C,CC=CC(C)=O.[Li]C(C)C>>CC=CC(C)(O)C(C)C,,,,,normalized_template_witnesses.json,4
4-013,"1,2-Addition of ethyllithium to alpha,beta-unsaturated aldehydes",CC=CC=O.[Li]CC,CC=CC(O)CC,CC=CC=O.[Li]CC>>CC=CC(O)CC,,,,,normalized_template_witnesses.json,4
4-014,"1,2-Addition of phenyllithium to alpha,beta-unsaturated ketones",CC=CC(C)=O.[Li]c1ccccc1,CC=CC(C)(O)c1ccccc1,CC=CC(C)=O.[Li]c1ccccc1>>CC=CC(C)(O)c1ccccc1,,,,,normalized_template_witnesses.json,4
4-015,"1,2-Addition of methyllithium to alpha,beta-unsaturated aldehydes",CC=CC=O.[Li]C,CC=CC(C)O,CC=CC=O.[Li]C>>CC=CC(C)O,,,,,normalized_template_witnesses.json,4
4-016,"1,2-Addition of phenyllithium to alpha,beta-unsaturated aldehydes",CC=CC=O.[Li]c1ccccc1,CC=CC(O)c1ccccc1,CC=CC=O.[Li]c1ccccc1>>CC=CC(O)c1ccccc1,,,,,normalized_template_witnesses.json,4
4-017,"1,2-Addition of methyllithium to alpha,beta-unsaturated ketones",CC=CC(C)=O.[Li]C,CC=CC(C)(C)O,CC=CC(C)=O.[Li]C>>CC=CC(C)(C)O,,,,,normalized_template_witnesses.json,4
4-018,"1,2-Addition of isopropyllithium to alpha,beta-unsaturated aldehydes",CC=CC=O.[Li]C(C)C,CC=CC(O)C(C)C,CC=CC=O.[Li]C(C)C>>CC=CC(O)C(C)C,,,,,normalized_template_witnesses.json,4
4-019,"1,2-Addition of tert-butyllithium to alpha,beta-unsaturated ketones",CC=CC(C)=O.[Li]C(C)(C)C,CC=CC(C)(O)C(C)(C)C,CC=CC(C)=O.[Li]C(C)(C)C>>CC=CC(C)(O)C(C)(C)C,,,,,normalized_template_witnesses.json,4
4-020,"1,2-Addition of tert-butyllithium to alpha,beta-unsaturated aldehydes",CC=CC=O.[Li]C(C)(C)C,CC=CC(O)C(C)(C)C,CC=CC=O.[Li]C(C)(C)C>>CC=CC(O)C(C)(C)C,,,,,normalized_template_witnesses.json,4
4-021,"1,2-Addition of phenylmagnesium bromide to alpha,beta-unsaturated aldehydes",Br[Mg]c1ccccc1.CC=CC=O,CC=CC(O)c1ccccc1,Br[Mg]c1ccccc1.CC=CC=O>>CC=CC(O)c1ccccc1,,,,,normalized_template_witnesses.json,4
4-022,"1,2-Addition of ethyllithium to alpha,beta-unsaturated methyl ketones",CC=CC(C)=O.[Li]CC,CC=CC(C)(O)CC,CC=CC(C)=O.[Li]CC>>CC=CC(C)(O)CC,,,,,normalized_template_witnesses.json,4
4-023,"1,2-Addition of phenylmagnesium bromide to alpha,beta-unsaturated ketones",Br[Mg]c1ccccc1.CC=CC(C)=O,CC=CC(C)(O)c1ccccc1,Br[Mg]c1ccccc1.CC=CC(C)=O>>CC=CC(C)(O)c1ccccc1,,,,,normalized_template_witnesses.json,4
4-024,Double dehydrohalogenation of dihalides to conjugated dienes,C(CC[X])C[X],C=CC=C,C(CC[X])C[X]>>C=CC=C,,,,KOH,library_1270_chapter_templates.json,4
4-025,E2 elimination of primary alkyl halides,C(C[X])[R1a],CC=[R1a],C(C[X])[R1a]>>CC=[R1a],methyl,,,NaOEt,library_1270_chapter_templates.json,4
4-026,E2 elimination of substituted alkyl halides,[X]C([R1a])([R2b])[R3c],C([R1a])(=[R2b])[R3c],[X]C([R1a])([R2b])[R3c]>>C([R1a])(=[R2b])[R3c],H;methyl;primary,methyl;primary;secondary;benzyl,H;methyl;primary;aryl,"(CH3)3COK (bulk base), (CH3)3COH | NaOEt | Base | CH3CH2ONa",library_1270_chapter_templates.json,4
4-027,The E2 elimination reaction that follows the Zaitsev rule,[X]C([R1a])([R2b])[R3c],C([R1a])(=[R2b])[R3c],[X]C([R1a])([R2b])[R3c]>>C([R1a])(=[R2b])[R3c],H;methyl,primary;secondary;benzyl,H;methyl;primary;aryl,Base,normalized_template_witnesses.json,4
4-028,The E2 elimination reaction that follows the Hofmann rule,[X]C([R1a])([R2b])[R3c],C([R1a])(=[R2b])[R3c],[X]C([R1a])([R2b])[R3c]>>C([R1a])(=[R2b])[R3c],primary;secondary;benzyl,methyl,H;methyl;primary;aryl,Bluk Base,normalized_template_witnesses.json,4
4-029,E2 elimination of diaryl-substituted alkyl bromides,BrC(Cc1ccccc1)c1ccccc1,C(=C/c1ccccc1)\c1ccccc1,BrC(Cc1ccccc1)c1ccccc1>>C(=C/c1ccccc1)\c1ccccc1,,,,CH3CH2ONa,normalized_template_witnesses.json,4
4-030,Reduction of primary and secondary alkyl halides to alkanes,[R1a][X],[R1a],[R1a][X]>>[R1a],primary;secondary,,,"LiAlH4, diethyl etherorTHF | H2, Pd, CaCO3 | Zn, HCl | NaBH4, alcohol",library_1270_chapter_templates.json,4
4-031,Hydrogenolysis or zinc reduction of 1-bromopropane,CCCBr,CCC,CCCBr>>CCC,,,,"H2, Pd, CaCO3 | Zn, HCl",normalized_template_witnesses.json,4
4-032,Nucleophilic substitution of alkyl halides by hydroxide,[R1a][X].O,[R1a]O,[R1a][X].O>>[R1a]O,methyl;primary;secondary;tertiary,,,"H2O,NaOH | NaOH",library_1270_chapter_templates.json,4
4-033,Hydrolysis of 3-bromohexane to 3-hexanol,CCC(Br)CC.O,CCC(O)CC,CCC(Br)CC.O>>CCC(O)CC,,,,NaOH,normalized_template_witnesses.json,4
4-034,Copper-mediated conjugate addition of Grignard reagents to enones,O=C(C(=C([R1a])[R1b])[R1c])[R1d].[R2e][Mg][X],O=C(C(C([R2e])([R1a])[R1b])[R1c])[R1d],O=C(C(=C([R1a])[R1b])[R1c])[R1d].[R2e][Mg][X]>>O=C(C(C([R2e])([R1a])[R1b])[R1c])[R1d],H;methyl,primary;aryl,,CuI,library_1270_chapter_templates.json,4
4-035,Protonolysis of Grignard reagents by water,[R1a][Mg][X],[R1a],[R1a][Mg][X]>>[R1a],methyl,,,H2O,library_1270_chapter_templates.json,4
4-036,Carboxylation of Grignard reagents with carbon dioxide,[R1a][Mg][X].O=C=O,O=C(O)[R1a],[R1a][Mg][X].O=C=O>>O=C(O)[R1a],primary;secondary;aryl,,,,library_1270_chapter_templates.json,4
4-037,Carboxylation of propylmagnesium bromide with carbon dioxide,CCC[Mg]Br.O=C=O,CCCC(=O)O,CCC[Mg]Br.O=C=O>>CCCC(=O)O,,,,,normalized_template_witnesses.json,4
4-038,Corey-House coupling of lithium dialkylcuprates with alkyl halides,[R1a][Cu]([Li])[R1b].[R1c][X],[R1b][R1c],[R1a][Cu]([Li])[R1b].[R1c][X]>>[R1b][R1c],methyl,,,,library_1270_chapter_templates.json,4
4-039,Cross-coupling of Grignard reagents with organic halides,[R1a][Mg][X1].[R2b][X2],[R1a][R2b],[R1a][Mg][X1].[R2b][X2]>>[R1a][R2b],methyl;primary;secondary;tertiary;aryl;benzyl;secondary_allylic,methyl;primary;secondary;tertiary;alkenyl;benzyl;allyl;secondary_allylic,,ether | C[Mg]F,library_1270_chapter_templates.json,4
4-040,Coupling of substituted Grignard reagents with primary alkyl halides,[X1][Mg]C([R1a])[R1b].[R2c][X2],[R2c][R1a],[X1][Mg]C([R1a])[R1b].[R2c][X2]>>[R2c][R1a],methyl,primary,,,library_1270_chapter_templates.json,4
4-041,Coupling of branched Grignard reagents with primary alkyl halides,[X][Mg]C([R1a])[R1b].[R2c][X],[R1a][R2c],[X][Mg]C([R1a])[R1b].[R2c][X]>>[R1a][R2c],methyl,primary,,,library_1270_chapter_templates.json,4
4-042,Coupling of isopropylmagnesium chloride with vinyl iodides,CC(C)[Mg]Cl.CC/C=C/I,CC/C=C/C(C)C,CC(C)[Mg]Cl.CC/C=C/I>>CC/C=C/C(C)C,,,,,normalized_template_witnesses.json,4
4-043,Coupling of Grignard reagents with secondary allylic bromides,CC=CC(Br)CC.CC=CC(CC)[Mg]Br,CC=CC(CC)C(C=CC)CC,CC=CC(Br)CC.CC=CC(CC)[Mg]Br>>CC=CC(CC)C(C=CC)CC,,,,,normalized_template_witnesses.json,4
4-044,Coupling of methylmagnesium bromide with secondary allylic bromides,CC=CC(Br)CC.C[Mg]Br,CC=CC(C)CC,CC=CC(Br)CC.C[Mg]Br>>CC=CC(C)CC,,,,,normalized_template_witnesses.json,4
4-045,Coupling of propylmagnesium bromide with 1-bromopropane,CCCBr.CCC[Mg]Br,CCCCCC,CCCBr.CCC[Mg]Br>>CCCCCC,,,,,normalized_template_witnesses.json,4
4-046,Coupling of ethylmagnesium chloride with vinyl iodides,CC/C=C/I.CC[Mg]Cl,CC/C=C/CC,CC/C=C/I.CC[Mg]Cl>>CC/C=C/CC,,,,,normalized_template_witnesses.json,4
4-047,Alkylation of conjugated acetylides with methylmagnesium bromide,C=CC#C[Na].C[Mg]Br,C=CC#CC,C=CC#C[Na].C[Mg]Br>>C=CC#CC,,,,"CH3MgBr, ether",normalized_template_witnesses.json,4
4-048,Preparation of lithium dialkylcuprates from organolithium reagents and copper,[R1a][Li].[R1b][Li].[Cu],[R1a][Cu]([Li])[R1b],[R1a][Li].[R1b][Li].[Cu]>>[R1a][Cu]([Li])[R1b],methyl;primary,,,"diethyl ether, 0 °C, [Cu]I",library_1270_chapter_templates.json,4
4-049,Preparation of lithium dialkylcuprates from organolithium reagents and copper halides,[R1a][Li].[R1b][Li].[Cu][X],[R1a][Cu-][R1b],[R1a][Li].[R1b][Li].[Cu][X]>>[R1a][Cu-][R1b],primary,,,,library_1270_chapter_templates.json,4
4-050,Preparation of Grignard reagents from organic halides,[R1a][X].[Mg],[R1a][Mg][X],[R1a][X].[Mg]>>[R1a][Mg][X],methyl;primary;tertiary;aryl,,,"anhydrous diethyl ether | anhydrous diethyl ether | anhydrous diethyl ether, I2 | anhydrous diethyl ether, I2 | Et2O",library_1270_chapter_templates.json,4
4-051,Preparation of organolithium reagents by lithiation,[R1a].[Li],[R1a][Li],[R1a].[Li]>>[R1a][Li],methyl,,,Li,library_1270_chapter_templates.json,4
4-052,Preparation of propylmagnesium bromide from 1-bromopropane,CCCBr.[Mg],CCC[Mg]Br,CCCBr.[Mg]>>CCC[Mg]Br,,,,Et2O,normalized_template_witnesses.json,4
5-001,Allylic free-radical halogenation of alkenes,[R1a].[X][X],[R1a][X],[R1a].[X][X]>>[R1a][X],allyl;secondary_allylic,,,"hv | Br2, 500-600 °C, gas phase",library_1270_chapter_templates.json,5
5-002,Allylic bromination of hexenes,BrBr.CC=CCCC,CC=CC(Br)CC,BrBr.CC=CCCC>>CC=CC(Br)CC,,,,hv,normalized_template_witnesses.json,5
5-003,Prilezhaev epoxidation of monosubstituted alkenes,CC=[R1a].O=COO,C1OC1[R1a],CC=[R1a].O=COO>>C1OC1[R1a],methyl,,,RCOOOH,library_1270_chapter_templates.json,5
5-004,Electrophilic halogen addition to cyclopentadiene,C1=CCC=C1.[X][X],C1=CC([X])CC1[X],C1=CCC=C1.[X][X]>>C1=CC([X])CC1[X],,,,,library_1270_chapter_templates.json,5
5-005,Mixed-halogen addition to trisubstituted alkenes,C(C[R1a])=C([R1b])[R1c].[X1][X1].[X2H],CC(C([R1b])([R1c])[X1])([R1a])[X2],C(C[R1a])=C([R1b])[R1c].[X1][X1].[X2H]>>CC(C([R1b])([R1c])[X1])([R1a])[X2],methyl,,,,library_1270_chapter_templates.json,5
5-006,Electrophilic halogenation of trisubstituted alkenes,C(C[R1a])=C([R1b])[R1c].[X][X],CC(C([R1b])([R1c])[X])([R1a])[X],C(C[R1a])=C([R1b])[R1c].[X][X]>>CC(C([R1b])([R1c])[X])([R1a])[X],methyl,,,,library_1270_chapter_templates.json,5
5-007,Haloalkoxylation of trisubstituted alkenes,C(C[R1a])=C([R1b])[R1c].O[R2d].[X][X],CC(O[R2d])(C([R1b])([R1c])[X])[R1a],C(C[R1a])=C([R1b])[R1c].O[R2d].[X][X]>>CC(O[R2d])(C([R1b])([R1c])[X])[R1a],methyl,methyl;primary,,,library_1270_chapter_templates.json,5
5-008,Electrophilic halogenation of substituted alkenes,C(=C([R1a])[R2b])[R1c].[X][X],C(C([R1a])([R2b])[X])([R1c])[X],C(=C([R1a])[R2b])[R1c].[X][X]>>C(C([R1a])([R2b])[X])([R1c])[X],H;methyl,H;methyl;primary;alkenyl,,"Br2, low temperature | Br2, CCl4 | Br2",library_1270_chapter_templates.json,5
5-009,Mixed-halogen addition to disubstituted alkenes,CC=[R1a].[X1][X1].[X2H],C(C([R1a])[X2])[X1],CC=[R1a].[X1][X1].[X2H]>>C(C([R1a])[X2])[X1],methyl,,,,library_1270_chapter_templates.json,5
5-010,"Mixed-halogen addition to 1,1-disubstituted alkenes",C=C([R1a])[R1b].[X1][X1].[X2H],C(C([R1a])([R1b])[X2])[X1],C=C([R1a])[R1b].[X1][X1].[X2H]>>C(C([R1a])([R1b])[X2])[X1],methyl,,,,library_1270_chapter_templates.json,5
5-011,Haloalkoxylation of terminal alkenes,C=C([R1a])[R1b].O[R2c].[X][X],C(C(O[R2c])([R1a])[R1b])[X],C=C([R1a])[R1b].O[R2c].[X][X]>>C(C(O[R2c])([R1a])[R1b])[X],H;methyl,methyl;primary,,"Br2,CH3OH",library_1270_chapter_templates.json,5
5-012,Bromohydrin formation from ethene,C=C.O.[XH],OCC[X],C=C.O.[XH]>>OCC[X],,,,"Br2,H2O",library_1270_chapter_templates.json,5
5-013,Bromochlorination of ethene,C=C.[X1][X1].[X2-],C(C[X1])[X2],C=C.[X1][X1].[X2-]>>C(C[X1])[X2],,,,"Br2,NaCl",library_1270_chapter_templates.json,5
5-014,Markovnikov hydrohalogenation of substituted alkenes,C(C([R1a])[R1b])=[R1c].[XH],C(C([R1a])([R1b])[X])[R1c],C(C([R1a])[R1b])=[R1c].[XH]>>C(C([R1a])([R1b])[X])[R1c],methyl,,,HBr,library_1270_chapter_templates.json,5
5-015,"Thermodynamic 1,4-addition of hydrogen bromide to conjugated dienes",C=CC=[R1a].[XH],C(=C[R1a])C[X],C=CC=[R1a].[XH]>>C(=C[R1a])C[X],methyl,,,"HBr,40 °C",library_1270_chapter_templates.json,5
5-016,Free-radical anti-Markovnikov addition of hydrogen bromide to alkenes,C=CC.[XH],CCC[X],C=CC.[XH]>>CCC[X],,,,"HBr,ROOR",library_1270_chapter_templates.json,5
5-017,Halohydrin formation from trisubstituted alkenes,C(C[R1a])=C([R1b])[R1c].O.[X][X],CC(O)(C([R1b])([R1c])[X])[R1a],C(C[R1a])=C([R1b])[R1c].O.[X][X]>>CC(O)(C([R1b])([R1c])[X])[R1a],methyl,,,,library_1270_chapter_templates.json,5
5-018,Halohydrin formation from unsymmetrical alkenes,CC(=[R1a])[R2b].O.[X][X],OC(C[X])([R1a])[R2b],CC(=[R1a])[R2b].O.[X][X]>>OC(C[X])([R1a])[R2b],methyl,H;methyl,,,library_1270_chapter_templates.json,5
5-019,Hydroboration-oxidation of alkenes,CC=[R1a].O,OCC[R1a],CC=[R1a].O>>OCC[R1a],methyl,,,1) BH3 2)H2O2,library_1270_chapter_templates.json,5
5-020,Catalytic hydrogenation of substituted alkenes,[R1a]=[R2b],[R1a][R2b],[R1a]=[R2b]>>[R1a][R2b],methyl;primary;secondary,primary;secondary,,"H2, Pt | H2,catalyst | H2,Ni",library_1270_chapter_templates.json,5
5-021,Catalytic hydrogenation of hexenes,CCC=CCC,CCCCCC,CCC=CCC>>CCCCCC,,,,"H2, Pt",normalized_template_witnesses.json,5
5-022,Catalytic hydrogenation of butenes,C=CCC,CCCC,C=CCC>>CCCC,,,,"H2,Ni",normalized_template_witnesses.json,5
5-023,Syn-dihydroxylation of alkenes with osmium tetroxide,C(=C([R1a])[R2b])([R1c])[R2d].O=[Os](=O)(=O)=O,OC(C(O)([R1a])[R2b])([R1c])[R2d],C(=C([R1a])[R2b])([R1c])[R2d].O=[Os](=O)(=O)=O>>OC(C(O)([R1a])[R2b])([R1c])[R2d],H;methyl,H;methyl;primary,,OsO4,library_1270_chapter_templates.json,5
5-024,Syn-dihydroxylation of alkenes with dilute alkaline permanganate,C(=C([R1a])[R2b])([R1c])[R2d].O=[Mn](=O)(=O)[O-],OC(C(O)([R1a])[R2b])([R1c])[R2d],C(=C([R1a])[R2b])([R1c])[R2d].O=[Mn](=O)(=O)[O-]>>OC(C(O)([R1a])[R2b])([R1c])[R2d],H;methyl;primary,H;methyl,,"dil., KMnO4",library_1270_chapter_templates.json,5
5-025,Oxidative cleavage of substituted alkenes to carbonyl compounds,[R1a]=[R1b].O=[Mn](=O)(=O)[O-],[R1b]=O,[R1a]=[R1b].O=[Mn](=O)(=O)[O-]>>[R1b]=O,secondary,,,"conc., KMnO4",library_1270_chapter_templates.json,5
5-026,Oxidative cleavage of terminal alkenes to carboxylic acids,C([R1a])(=[R2b])[R1c].O=[Mn](=O)(=O)[O-],O=C(O)[R1a],C([R1a])(=[R2b])[R1c].O=[Mn](=O)(=O)[O-]>>O=C(O)[R1a],methyl,primary,,"conc., KMnO4",library_1270_chapter_templates.json,5
5-027,Oxidative cleavage of alkenes with concentrated permanganate,C([R1a])=[R1b].O=[Mn](=O)(=O)[O-],O=C(O)[R1a],C([R1a])=[R1b].O=[Mn](=O)(=O)[O-]>>O=C(O)[R1a],methyl;primary,,,"conc., KMnO4",library_1270_chapter_templates.json,5
5-028,Reductive ozonolysis of alkenes,[R1a]=[R1b].O=[O+][O-],[R1b]=O,[R1a]=[R1b].O=[O+][O-]>>[R1b]=O,primary,,,"1) O3; 2)H2O,Zn,HOAc",library_1270_chapter_templates.json,5
5-029,Base-catalyzed isomerization of alkynes,C#CC[R1a],CC#C[R1a],C#CC[R1a]>>CC#C[R1a],methyl,,,"KOH or CH3CH2ONa, heat",library_1270_chapter_templates.json,5
5-030,Alkylation of acetylide anions with primary alkyl halides,[R1a][X].[R2b][Na],[R1a][R2b],[R1a][X].[R2b][Na]>>[R1a][R2b],primary,alkynyl,,NH3(liquid),library_1270_chapter_templates.json,5
5-031,Alkylation of propynide with 1-bromopropane,C#CC.CCCBr,CC#CCCC,C#CC.CCCBr>>CC#CCCC,,,,NaNH2,normalized_template_witnesses.json,5
5-032,Hydrohalogenation of alkynes with one equivalent of hydrogen halide,C(#[R1a])[R2b].[XH],[X]C(=[R1a])[R2b],C(#[R1a])[R2b].[XH]>>[X]C(=[R1a])[R2b],primary,methyl,,HBr,library_1270_chapter_templates.json,5
5-033,Halogenation of alkynes with one equivalent of halogen,C(#C[R1a])[R1b].[X][X],[X]C(=C([X])[R1a])[R1b],C(#C[R1a])[R1b].[X][X]>>[X]C(=C([X])[R1a])[R1b],methyl,,,"Br2,low temperature",library_1270_chapter_templates.json,5
5-034,Double dehydrohalogenation of vicinal dihalides to terminal alkynes,C(C([R1a])[X])[X],C#C[R1a],C(C([R1a])[X])[X]>>C#C[R1a],primary,,,,library_1270_chapter_templates.json,5
5-035,Hydration or hydroboration-oxidation of alkynes to carbonyl compounds,C(#[R1a])[R2b].O,O=C([R1a])[R2b],C(#[R1a])[R2b].O>>O=C([R1a])[R2b],primary,H;methyl,,"1) BH3 2)H2O2 | H2SO4,H2O | 1) BH3 2)H2O2",library_1270_chapter_templates.json,5
5-036,Complete catalytic hydrogenation of alkynes to alkanes,CC#[R1a],CC[R1a],CC#[R1a]>>CC[R1a],primary,,,"H2, Pd or Ni",library_1270_chapter_templates.json,5
5-037,Dissolving-metal reduction of internal alkynes to trans-alkenes,CC#CCC,CC=CCC,CC#CCC>>CC=CCC,,,,"Li,NH3",normalized_template_witnesses.json,5
5-038,Dissolving-metal reduction of enynes to conjugated trans-dienes,C=CC#CC,C=C/C=C/C,C=CC#CC>>C=C/C=C/C,,,,"Li, NH3(liquid)",normalized_template_witnesses.json,5
5-039,Partial reduction of internal alkynes to cis-alkenes,CC#CC,C/C=C\C,CC#CC>>C/C=C\C,,,,1) B2H6; 2)HOAc | H2 Lindlar catalysis,normalized_template_witnesses.json,5
5-040,Dissolving-metal reduction of internal alkynes to trans-2-butenes,CC#CC,C/C=C/C,CC#CC>>C/C=C/C,,,,Li or Na NH3,normalized_template_witnesses.json,5
5-041,Catalytic hydrogenation of cyclopropanes with ring opening,C1CC1,CCC,C1CC1>>CCC,,,,"H2,Ni,40 °C or pd/C, 50 °C",library_1270_chapter_templates.json,5
5-042,Electrophilic halogen addition to cyclopropanes with ring opening,C1CC1.[X][X],C(C[X])C[X],C1CC1.[X][X]>>C(C[X])C[X],,,,"Cl2, FeCl3",library_1270_chapter_templates.json,5
5-043,Acid-catalyzed hydration of cyclopropanes with ring opening,C1CC1.O,CCCO,C1CC1.O>>CCCO,,,,"H2SO4, H2O",normalized_template_witnesses.json,5
5-044,"Diels-Alder reaction of cyclopentadiene with alpha,beta-unsaturated carbonyls",C1=CCC=C1.C=CC(=O)[R1a],O=C(C1CC2C=CC1C2)[R1a],C1=CCC=C1.C=CC(=O)[R1a]>>O=C(C1CC2C=CC1C2)[R1a],methyl,,,,library_1270_chapter_templates.json,5
5-045,General Diels-Alder [4+2] cycloaddition,C(C(=C([R1a])[R1b])[R1c])(=C([R1d])[R1e])[R1f].C(=C([R1g])[R1h])([R1i])[R1j],C1([R1f])=C([R1c])C([R1e])([R1a])C([R1h])([R1g])C([R1j])([R1i])C1([R1b])[R1d],C(C(=C([R1a])[R1b])[R1c])(=C([R1d])[R1e])[R1f].C(=C([R1g])[R1h])([R1i])[R1j]>>C1([R1f])=C([R1c])C([R1e])([R1a])C([R1h])([R1g])C([R1j])([R1i])C1([R1b])[R1d],H;methyl;methoxycarbonyl,,,heating | heat,slot-compression prototype,5
5-046,Diels-Alder [4+2] cycloaddition with connectivity pattern A,C(C(=C([R1a])[R1b])[R1c])(=C([R1d])[R1e])[R1f].C(=C([R1g])[R1h])([R1i])[R1j],C1([R1f])=C([R1a])C([R1c])([R1b])C([R1j])([R1i])C([R1g])([R1h])C1([R1d])[R1e],C(C(=C([R1a])[R1b])[R1c])(=C([R1d])[R1e])[R1f].C(=C([R1g])[R1h])([R1i])[R1j]>>C1([R1f])=C([R1a])C([R1c])([R1b])C([R1j])([R1i])C([R1g])([R1h])C1([R1d])[R1e],H;methyl,,,,slot-compression prototype,5
5-047,Diels-Alder [4+2] cycloaddition with connectivity pattern B,C(C(=C([R1a])[R1b])[R1c])(=C([R1d])[R1e])[R1f].C(=C([R1g])[R1h])([R1i])[R1j],C1([R1c])=C([R1g])C([R1j])([R1b])C([R1i])([R1h])C([R1f])([R1a])C1([R1d])[R1e],C(C(=C([R1a])[R1b])[R1c])(=C([R1d])[R1e])[R1f].C(=C([R1g])[R1h])([R1i])[R1j]>>C1([R1c])=C([R1g])C([R1j])([R1b])C([R1i])([R1h])C([R1f])([R1a])C1([R1d])[R1e],H;methyl,,,,slot-compression prototype,5
5-048,Diels-Alder [4+2] cycloaddition with connectivity pattern C,C(C(=C([R1a])[R1b])[R1c])(=C([R1d])[R1e])[R1f].C(=C([R1g])[R1h])([R1i])[R1j],C1([R1d])=C([R1g])C([R1j])([R1f])C([R1a])([R1h])C([R1i])([R1b])C1([R1c])[R1e],C(C(=C([R1a])[R1b])[R1c])(=C([R1d])[R1e])[R1f].C(=C([R1g])[R1h])([R1i])[R1j]>>C1([R1d])=C([R1g])C([R1j])([R1f])C([R1a])([R1h])C([R1i])([R1b])C1([R1c])[R1e],H;methyl,,,,slot-compression prototype,5
